,restaurant_name,address,review_score,price,categories,price_range,cuisines,diets,meals,features,tags,url,lat,lon,geometry,osmid
15,Tian Ya BBQ,"54 Maple Ave, Barrie, Ontario L4N 1R8 Canada",4.5,2.5,"['Barbecue', 'Asian', 'Korean']",[],"['barbecue', 'asian', 'korean']",[],"['lunch', 'dinner']","['delivery', 'takeout', 'reservations', 'seating', 'parking available', 'serves alcohol', 'table service']","['general tao chicken ', 'kimchi ', 'dim sum ', 'seaweed salad ', 'sweet and sour pork ', 'short ribs ', 'spring rolls ', 'all you can eat ', 'electric grill ', 'service was great ', 'meat ', 'marinated ', 'markham ', 'servings ']",https://www.tripadvisor.ca/Restaurant_Review-g154980-d9712291-Reviews-Tian_Ya_BBQ-Barrie_Ontario.html,44.38940954,-79.69191884,POINT (-79.69191884 44.38940954),15
16,Scotty's,"636 Yonge St, Barrie, Ontario L4N 4E6 Canada",4.2,2.5,"['Canadian', 'Vegetarian Friendly']","[9, 28]",['canadian'],['vegetarian friendly'],[],[],"['beef tips ', 'jambalaya ', 'salad ', 'fish and chips ', 'prime burger ', 'french fries ', 'plaza restaurant ', 'family dinner ', 'nice atmosphere ', 'portion sizes ', 'server ', 'booth ', 'apps ']",https://www.tripadvisor.ca/Restaurant_Review-g154980-d689171-Reviews-Scotty_s-Barrie_Ontario.html,44.3551687,-79.6462804,POINT (-79.64628039999999 44.3551687),16
17,Stacked Pancake & Breakfast House,"559 Essa Rd, Barrie, Ontario L4N 6A9 Canada",4.4,1,"['Diner', 'Canadian', 'Vegetarian Friendly']",[],"['diner', 'canadian']",['vegetarian friendly'],"['breakfast', 'lunch', 'brunch']",[],"['hash ', 'ham ', 'home fries ', 'meat lovers ', 'large pancakes ', 'food was great ', 'essa ', 'portions ', 'homemade ', 'mmmmm ', 'servers ']",https://www.tripadvisor.ca/Restaurant_Review-g154980-d20203903-Reviews-Stacked_Pancake_Breakfast_House-Barrie_Ontario.html,44.3381019,-79.709752,POINT (-79.70975199999999 44.3381019),17
18,Casa Mia Restaurant,"88 Dunlop St W, Barrie, Ontario L4N 1A6 Canada",4.1,2.5,"['Italian', 'Mediterranean', 'Greek']",[],[],[],[],[],"['greek salad ', 'souvlaki ', 'spaghetti ', 'chicken ', 'potatoes ', 'mussels ', 'filet ', 'garlic bread ', 'cakes ', 'greek village ', 'dressing on the side ', 'place to eat ', 'service was excellent ', 'cooked to perfection ', 'saturday night ', 'the food is great ', 'pickerel ']",https://www.tripadvisor.ca/Restaurant_Review-g154980-d765676-Reviews-Casa_Mia_Restaurant-Barrie_Ontario.html,44.3880407,-79.6933599,POINT (-79.6933599 44.3880407),18
19,Barnstormer Brewing and Distilling Co.,"384 Yonge St, Barrie, Ontario L4N 4C8 Canada",4.3,2.5,"['Brew Pub', 'Bar', 'Pizza']","[6, 17]","['gastropub', 'bar', 'pizza', 'pub', 'canadian', 'brew pub']","['vegetarian friendly', 'gluten free options']",[],[],"['pizza ', 'wings ', 'fries ', 'chicken ', 'salad ', 'great beer ', 'craft beer ', 'aviation theme ', 'different beers ', 'strip mall ', 'hot sauce ', 'ipa ', 'ontario ', 'wrap ']",https://www.tripadvisor.ca/Restaurant_Review-g154980-d6783588-Reviews-Barnstormer_Brewing_and_Distilling_Co-Barrie_Ontario.html,44.3666815,-79.6632281,POINT (-79.6632281 44.3666815),19
20,Noble Cuisine,"10 Fairview Rd, Barrie, Ontario L4N 4P3 Canada",4.1,2.5,"['Japanese', 'Sushi', 'Asian']",[],"['japanese', 'sushi', 'asian', 'thai']","['vegetarian friendly', 'vegan options', 'gluten free options']","['lunch', 'dinner']",[],"['sushi ', 'pumpkin soup ', 'hand rolls ', 'pad thai ', 'calamari ', 'all you can eat ', 'ayce places ', 'served quickly ', 'the wait staff ', 'quick service ', 'monday night ', 'lunch time ', 'barrie area ', 'ipad ', 'dishes ', 'servers ', 'order ']",https://www.tripadvisor.ca/Restaurant_Review-g154980-d7910812-Reviews-Noble_Cuisine-Barrie_Ontario.html,44.3639277,-79.6955174,POINT (-79.6955174 44.3639277),20
21,Pho Mekong,"555 Essa Rd, Barrie, Ontario L4N 6A9 Canada",4.4,1,"['Asian', 'Thai', 'Vietnamese']",[],"['asian', 'thai', 'vietnamese', 'soups']","['vegetarian friendly', 'vegan options']","['lunch', 'dinner']",[],"['pho ', 'noodles ', 'delicious food ', 'portions ', 'serving ']",https://www.tripadvisor.ca/Restaurant_Review-g154980-d5005264-Reviews-Pho_Mekong-Barrie_Ontario.html,44.3384001,-79.7109223,POINT (-79.71092229999999 44.3384001),21
22,Grillicious Gourmet Tap & Grill,"3 Mulcaster St., Barrie, Ontario L4M 3L9 Canada",4.7,2.5,"['Grill', 'Vegetarian Friendly']",[],['grill'],['vegetarian friendly'],"['lunch', 'dinner']",[],"['smoked trout ', 'bulgogi beef ', 'spring rolls ', 'potatoes ', 'burger ', 'wings ', 'amazing food ', 'craft beer ', 'food is locally sourced ', 'live jazz ', 'downtown barrie ', 'kempenfelt bay ', 'josie ', 'homemade ', 'patio ', 'server ', 'vegan ']",https://www.tripadvisor.ca/Restaurant_Review-g154980-d15559574-Reviews-Grillicious_Gourmet_Tap_Grill-Barrie_Ontario.html,44.3885535,-79.6854269,POINT (-79.6854269 44.3885535),22
23,Baton Rouge Steakhouse & Bar,"336 Bayfield St, Barrie, Ontario L4M 3B9 Canada",4.4,2.5,"['American', 'Steakhouse', 'Bar']",[],[],[],[],[],"['prime rib ', 'ribs ', 'steak ', 'mousse ', 'top sirloin ', 'soup ', 'calamari ', 'fries ', 'fall off the bone ', 'attentive service ', 'melt in your mouth ', 'great restaurant ', 'great meal ', 'plexiglass ', 'server ', 'jenna ', 'tender ']",https://www.tripadvisor.ca/Restaurant_Review-g154980-d9699709-Reviews-Baton_Rouge_Steakhouse_Bar-Barrie_Ontario.html,44.4029799,-79.7021895,POINT (-79.7021895 44.4029799),23
24,Burger Revolution,"300 North Front St, Belleville, Ontario K8P 3C4 Canada",4.4,2.5,"['American', 'Canadian', 'Vegetarian Friendly']","[4, 15]","['american', 'canadian']","['vegetarian friendly', 'vegan options', 'gluten free options']",[],[],"['burger ', 'fries ', 'red pepper jelly ', 'pretzels ', 'pulled pork ', 'lettuce wraps ', 'pastry ', 'wings ', 'you gotta eat here ', 'gluten free bun ', 'flavour combinations ', 'peanut butter ', 'local ingredients ', 'caramelized onions ', 'well worth the wait ', 'small restaurant ', 'fast food ']",https://www.tripadvisor.ca/Restaurant_Review-g154981-d3295857-Reviews-Burger_Revolution-Belleville_Ontario.html,44.18470285,-77.39491336,POINT (-77.39491336 44.18470285),24
25,Linguine's Italian Restaurant,"257 North Front St, Belleville, Ontario K8P 3C3 Canada",4.3,2.5,"['Italian', 'Vegetarian Friendly', 'Vegan Options']","[8, 16]",['italian'],"['vegetarian friendly', 'vegan options', 'gluten free options']",[],[],"['linguine ', 'tiramisu ', 'veal ', 'manicotti ', 'pesce ', 'caesar salad ', 'pasta dishes ', 'shrimp ', 'italian food ', 'special occasion ', 'prince edward county ', 'birthday dinner ', 'nice restaurant ', 'an appetizer ', 'sauce ', 'leftovers ', 'dressing ']",https://www.tripadvisor.ca/Restaurant_Review-g154981-d834730-Reviews-Linguine_s_Italian_Restaurant-Belleville_Ontario.html,44.1825839,-77.3931054,POINT (-77.3931054 44.1825839),25
26,Chilangos Mexican Restaurant,"394 Front St, Belleville, Ontario K8N 2Z8 Canada",4.3,2.5,"['Mexican', 'Healthy', 'Vegetarian Friendly']","[6, 16]","['mexican', 'healthy']","['vegetarian friendly', 'vegan options', 'gluten free options']",[],[],"['tacos ', 'burrito ', 'guacamole ', 'enchiladas verdes ', 'chorizo ', 'beans ', 'pork ', 'steak ', 'great mexican food ', 'downtown belleville ', 'excellent food and service ', 'take out ', 'friday night ', 'margaritas ', 'patio ', 'abraham ', 'spicy ']",https://www.tripadvisor.ca/Restaurant_Review-g154981-d9795285-Reviews-Chilangos_Mexican_Restaurant-Belleville_Ontario.html,44.16874573,-77.38607488,POINT (-77.38607488 44.16874573),26
27,The Boathouse Seafood Restaurant,"32 South Front St, Belleville, Ontario K8N 2Y3 Canada",4,2.5,"['Bar', 'Seafood', 'Grill']",[],[],[],[],[],"['seafood ', 'chowder ', 'halibut ', 'coconut shrimp ', 'fries ', 'salad ', 'baked potato ', 'bread ', 'wings ', 'boat house ', 'sit outside ', 'watch the boats ', 'all you can eat ', 'great fish and chips ', 'outdoor patio ', 'sailboat ', 'quinte ']",https://www.tripadvisor.ca/Restaurant_Review-g154981-d794353-Reviews-The_Boathouse_Seafood_Restaurant-Belleville_Ontario.html,44.1580167,-77.38044885,POINT (-77.38044884999999 44.1580167),27
28,Eggsquis Belleville,"366 North Front St, Belleville, Ontario K8P 5E6 Canada",4.5,2.5,"['Canadian', 'Vegetarian Friendly', 'Vegan Options']",[],['canadian'],"['vegetarian friendly', 'vegan options', 'gluten free options']","['breakfast', 'lunch', 'brunch']",[],"['brunch ', 'crepes ', 'eggs benedict ', 'potatoes ', 'club sandwich ', 'caesar salad ', 'fries ', 'pot of coffee ', 'breakfast spot ', 'definitely recommend this restaurant ', 'clean restaurant ', 'gets busy ', 'were seated immediately ', 'busy place ', 'friendly service ', 'generous portions ', 'food is excellent ']",https://www.tripadvisor.ca/Restaurant_Review-g154981-d10641669-Reviews-Eggsquis_Belleville-Belleville_Ontario.html,44.1872576,-77.3971871,POINT (-77.3971871 44.1872576),28
29,Greek Oasis,"690 Sidney St, Belleville, Ontario K8P 4A8 Canada",4.5,2.5,"['Mediterranean', 'Greek', 'Vegetarian Friendly']",[],"['mediterranean', 'greek']","['vegetarian friendly', 'gluten free options']","['lunch', 'dinner']",[],"['souvlaki ', 'greek salad ', 'potatoes ', 'rice ', 'chicken caesar ', 'pork ', 'fries ', 'take out ', 'delicious food ', 'family meal ', 'love this place ', 'pita ', 'takeout ', 'portions ', 'danforth ', 'dressing ', 'olives ']",https://www.tripadvisor.ca/Restaurant_Review-g154981-d2549790-Reviews-Greek_Oasis-Belleville_Ontario.html,44.18483953,-77.40999941,POINT (-77.40999941 44.18483953),29
30,Toro Sushi Restaurant,"338 Pinnacle St, Belleville, Ontario K8N 3B4 Canada",4.5,2.5,"['Japanese', 'Sushi', 'Asian']",[],"['japanese', 'sushi', 'asian', 'korean']","['vegetarian friendly', 'vegan options', 'gluten free options']","['lunch', 'dinner']",[],"['sushi ', 'bento box ', 'bulgogi ', 'tempura ', 'steak ', 'korean dishes ', 'small restaurant ', 'green tea ', 'never disappoints ', 'excellent food ', 'love this place ', 'quick service ', 'take out ', 'crystal ', 'saki ', 'province ', 'scorched ']",https://www.tripadvisor.ca/Restaurant_Review-g154981-d814799-Reviews-Toro_Sushi_Restaurant-Belleville_Ontario.html,44.16796593,-77.38462276,POINT (-77.38462276 44.16796593),30
31,L'Auberge de France,"304 Front St, Belleville, Ontario K8N 2Z8 Canada",4.4,2.5,"['French', 'European', 'Canadian']",[],"['french', 'european', 'canadian']","['vegetarian friendly', 'gluten free options', 'vegan options']","['lunch', 'brunch', 'breakfast', 'dinner']",[],"['quiche ', 'sandwiches ', 'bread ', 'charcuterie ', 'salad ', 'steak ', 'fries ', 'french cuisine ', 'delicious espresso ', 'display case ', 'baked goods ', 'order at the counter ', 'glass of red wine ', 'cafe au lait ', 'open kitchen ', 'heart of downtown ', 'love this place ']",https://www.tripadvisor.ca/Restaurant_Review-g154981-d2073322-Reviews-L_Auberge_de_France-Belleville_Ontario.html,44.16642737,-77.38555722,POINT (-77.38555722 44.16642737),31
32,Montana's,"170 Bell Blvd, Belleville, Ontario K8P 5L2 Canada",3.8,2.5,"['American', 'Southwestern', 'Bar']",[],"['american', 'southwestern', 'bar', 'barbecue', 'canadian']","['vegetarian friendly', 'gluten free options']","['lunch', 'dinner', 'after-hours']",[],"['ribs ', 'cornbread ', 'burger ', 'food was great ', 'server ']",https://www.tripadvisor.ca/Restaurant_Review-g154981-d3863004-Reviews-Montana_s-Belleville_Ontario.html,44.1870298,-77.40342517,POINT (-77.40342517000001 44.1870298),32
33,Capers Restaurant,"272 Front St, Belleville, Ontario K8N 2Z2 Canada",4.3,2.5,"['Canadian', 'Vegetarian Friendly', 'Gluten Free Options']",[],['canadian'],"['vegetarian friendly', 'gluten free options']","['lunch', 'dinner', 'after-hours']",[],"['venison ', 'charcuterie ', 'fries ', 'curry ', 'burger ', 'downtown belleville ', 'nice dinner ', 'great restaurant ', 'an appetizer ', 'chef ', 'entrees ', 'canada ']",https://www.tripadvisor.ca/Restaurant_Review-g154981-d794346-Reviews-Capers_Restaurant-Belleville_Ontario.html,44.1656,-77.38519137,POINT (-77.38519137 44.1656),33
34,Ku Mo Sushi,"71 Millennium Pky, Belleville, Ontario K8N 4Z5 Canada",4.7,2.5,"['Japanese', 'Sushi', 'Asian']",[],"['japanese', 'sushi', 'asian']","['vegetarian friendly', 'vegan options']","['lunch', 'dinner']",[],[],https://www.tripadvisor.ca/Restaurant_Review-g154981-d10640776-Reviews-Ku_Mo_Sushi-Belleville_Ontario.html,44.192,-77.40809293,POINT (-77.40809293 44.192),34
35,Cedar Nights,"21 College St W, Belleville, Ontario K8P 2G3 Canada",4.7,1,"['Lebanese', 'Mediterranean', 'Middle Eastern']",[],"['lebanese', 'middle eastern', 'mediterranean']","['halal', 'vegetarian friendly']","['lunch', 'dinner']",[],[],https://www.tripadvisor.ca/Restaurant_Review-g154981-d4852940-Reviews-Cedar_Nights-Belleville_Ontario.html,44.176061,-77.3911128,POINT (-77.3911128 44.176061),35
36,Dugout Grill,"514 Dundas St E, Belleville, Ontario K8N 1G3 Canada",4,2.5,"['American', 'Bar', 'Pub']",[],[],[],[],[],"['wings ', 'fries ', 'sandwich ', 'steak ', 'busy place ', 'wednesday night ', 'prices are very reasonable ', 'portion size ', 'place to eat ', 'service was great ', 'jen ', 'beer ', 'meaty ', 'tender ', 'bone ']",https://www.tripadvisor.ca/Restaurant_Review-g154981-d765746-Reviews-Dugout_Grill-Belleville_Ontario.html,44.1682391,-77.349294,POINT (-77.349294 44.1682391),36
37,Captain George's Fish and Chips,"150 Sidney St, Belleville, Ontario K8P 5E2 Canada",4.3,2.5,"['Seafood', 'Canadian']",[],"['seafood', 'canadian']",[],"['lunch', 'dinner']","['takeout', 'wheelchair accessible', 'seating']",[],https://www.tripadvisor.ca/Restaurant_Review-g154981-d4881994-Reviews-Captain_George_s_Fish_and_Chips-Belleville_Ontario.html,44.16029123,-77.39861711,POINT (-77.39861711 44.16029123),37
38,Boston Pizza,"180 Bell Blvd, Belleville, Ontario K8P 5L2 Canada",3.7,2.5,"['Bar', 'Pizza', 'Canadian']",[],[],[],[],[],"['pizza ', 'caesar salad ', 'usual chain ', 'last night ', 'waitress ', 'steph ', 'patio ']",https://www.tripadvisor.ca/Restaurant_Review-g154981-d702398-Reviews-Boston_Pizza-Belleville_Ontario.html,44.18798645,-77.40392304,POINT (-77.40392304 44.18798645),38
39,Lone Star Texas Grill,"130 Bell Blvd, Belleville, Ontario K8P 5L2 Canada",3.6,2.5,"['American', 'Steakhouse', 'Southwestern']","[8, 24]","['steakhouse', 'american', 'southwestern', 'bar', 'canadian']",['gluten free options'],[],[],"['fajitas ', 'steak ', 'salad ', 'tortilla shells ', 'food was great ', 'lonestar ', 'salsa ', 'ottawa ']",https://www.tripadvisor.ca/Restaurant_Review-g154981-d2692113-Reviews-Lone_Star_Texas_Grill-Belleville_Ontario.html,44.18761778,-77.39982032,POINT (-77.39982032 44.18761778),39
40,India Curry House,"180 North Front St, Belleville, Ontario K8P 3B9 Canada",4.1,1,"['Indian', 'Vegetarian Friendly', 'Vegan Options']",[],['indian'],"['vegetarian friendly', 'vegan options']","['lunch', 'dinner']",[],"['naan ', 'curry ', 'rice ', 'indian food ', 'fast service ', 'takeout ', 'vegetarian ']",https://www.tripadvisor.ca/Restaurant_Review-g154981-d3543437-Reviews-India_Curry_House-Belleville_Ontario.html,44.17862995,-77.39185438,POINT (-77.39185438 44.17862995),40
41,Paulo's Italian Trattoria,"38 Bridge St E, Belleville, Ontario K8N 1L6 Canada",3.6,2.5,"['Italian', 'Pizza', 'Vegetarian Friendly']","[7, 23]","['italian', 'pizza']","['vegetarian friendly', 'gluten free options', 'vegan options']",[],[],"['pasta ', 'wood oven pizza ', 'lamb ', 'scallops ', 'soup ', 'every bite ', 'busy night ', 'enjoyed their meals ', 'dinkel ', 'eats ', 'servers ']",https://www.tripadvisor.ca/Restaurant_Review-g154981-d794415-Reviews-Paulo_s_Italian_Trattoria-Belleville_Ontario.html,44.16397114,-77.38346578,POINT (-77.38346577999999 44.16397114),41
42,Mucho Burrito,"297 North Front St, Belleville, Ontario K8P 3C3 Canada",4.3,1,"['Mexican', 'Southwestern', 'Fast food']",[],"['mexican', 'southwestern', 'fast food']","['vegetarian friendly', 'vegan options']","['lunch', 'dinner']",[],"['burrito ', 'guacamole ', 'tacos ', 'great food ', 'fixings ', 'beer ']",https://www.tripadvisor.ca/Restaurant_Review-g154981-d10778641-Reviews-Mucho_Burrito-Belleville_Ontario.html,44.18415628,-77.39413481,POINT (-77.39413481 44.18415628),42
43,Sans-Souci,"240 Front St, Belleville, Ontario K8N 2Z2 Canada",4.2,2.5,"['Canadian', 'Vegetarian Friendly', 'Gluten Free Options']",[],['canadian'],"['vegetarian friendly', 'gluten free options']","['lunch', 'dinner', 'breakfast']",[],[],https://www.tripadvisor.ca/Restaurant_Review-g154981-d2535457-Reviews-Sans_Souci-Belleville_Ontario.html,44.1648212,-77.3848097,POINT (-77.38480970000001 44.1648212),43
